n_devices dev_type dev_name n_repeats total_time_ms stack_dims_x stack_dims_y stack_dims_z type_width_byte comment
1 bench_cpu_nd_fft E5-26400 10 30.6774 64 64 64 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft E5-26400 10 43.5743 128 64 64 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft E5-26400 10 96.482 128 128 64 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft E5-26400 10 199.117 128 128 128 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft E5-26400 10 653.242 256 128 128 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft E5-26400 10 1543.17 256 256 128 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft E5-26400 10 3070.58 256 256 256 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft E5-26400 10 6592.87 512 256 256 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft E5-26400 10 16281.1 512 512 256 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft E5-26400 10 36574.4 512 512 512 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft E5-26400 10 77049.1 1024 512 512 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft E5-26400 10 200297 1024 1024 512 4 excl_alloc,incl_tx,inplace
1 bench_cpu_nd_fft E5-26400 10 393055 1024 1024 1024 4 excl_alloc,incl_tx,inplace
n_devices dev_type dev_name n_repeats total_time_ms stack_dims_x stack_dims_y stack_dims_z type_width_byte comment
12 bench_cpu_nd_fft E5-26400 10 14.5748 64 64 64 4 excl_alloc,incl_tx,inplace
12 bench_cpu_nd_fft E5-26400 10 10.9654 128 64 64 4 excl_alloc,incl_tx,inplace
12 bench_cpu_nd_fft E5-26400 10 21.9323 128 128 64 4 excl_alloc,incl_tx,inplace
12 bench_cpu_nd_fft E5-26400 10 61.3012 128 128 128 4 excl_alloc,incl_tx,inplace
12 bench_cpu_nd_fft E5-26400 10 78.0547 256 128 128 4 excl_alloc,incl_tx,inplace
12 bench_cpu_nd_fft E5-26400 10 146.518 256 256 128 4 excl_alloc,incl_tx,inplace
12 bench_cpu_nd_fft E5-26400 10 319.045 256 256 256 4 excl_alloc,incl_tx,inplace
12 bench_cpu_nd_fft E5-26400 10 651.189 512 256 256 4 excl_alloc,incl_tx,inplace
12 bench_cpu_nd_fft E5-26400 10 1532.51 512 512 256 4 excl_alloc,incl_tx,inplace
12 bench_cpu_nd_fft E5-26400 10 3387.76 512 512 512 4 excl_alloc,incl_tx,inplace
12 bench_cpu_nd_fft E5-26400 10 6957.01 1024 512 512 4 excl_alloc,incl_tx,inplace
12 bench_cpu_nd_fft E5-26400 10 17685.9 1024 1024 512 4 excl_alloc,incl_tx,inplace
12 bench_cpu_nd_fft E5-26400 10 37058.2 1024 1024 1024 4 excl_alloc,incl_tx,inplace
